ticker,shares,entry_date,target_exit,est_entry,tp,order_id,status,score,exit_date,exit_price,dollar_pnl,stop
TGT,64,2026-08-20,2026-09-19,156.957,162.31,898,open,35.2669,,,,150.68
CAT,11,2026-08-06,2026-09-05,865.8691,905.9,730,closed,84.7709,2026-08-07,865.63,-2.63,831.23
LLY,8,2026-08-07,2026-09-06,1193.1363,1242.74,778,closed,71.5754,2026-08-19,1245.81,421.39,1145.41
UNH,23,2026-07-17,2026-08-16,429.7374,443.56,220,closed,37.8295,2026-08-04,415.56,-326.08,412.55
AMZN,38,2026-07-31,2026-08-30,263.4287,272.96,570,closed,110.4258,2026-08-03,265.0,59.71,252.89
GOOGL,30,2026-07-23,2026-08-22,320.6763,337.74,294,closed,162.0426,2026-07-29,337.74,511.91,307.85
LMT,17,2026-07-24,2026-08-23,571.0,591.56,308,closed,20.3756,2026-07-28,591.56,349.52,548.16
INTC,96,2026-07-24,2026-08-23,100.6,108.22,303,closed,35.1684,2026-07-24,99.86,-73.46,99.9
GS,8,2026-07-15,2026-08-14,1149.03625,1187.16,155,closed,123.0932,2026-07-16,1095.69,-426.77,1095.84
NKE,231,2026-07-02,2026-08-01,43.23,44.96,5,cancelled,16.0394,2026-07-07,,0.0,41.5
