ticker,shares,entry_date,target_exit,est_entry,stop,order_id,status,hurst,regime,exit_date,dollar_pnl,exit_price
MSFT,20,2026-08-17,2026-08-27,491.5145,466.94,965,closed_pending,0.7847,trending,,,
NOW,81,2026-08-17,2026-08-27,122.3235,116.21,977,closed_pending,0.8369,trending,,,
INTU,29,2026-08-17,2026-08-27,338.1876,321.28,981,closed_pending,0.7332,trending,,,
SLV,167,2026-08-17,2026-08-27,59.0165,56.07,985,closed_pending,0.6834,trending,,,
PYPL,174,2026-08-03,2026-08-13,58.1263,54.56,628,closed,0.6596,trending,2026-08-14,282.52,59.75
INTU,31,2026-08-03,2026-08-13,326.0352,304.95,632,closed,0.7533,trending,2026-08-14,329.37,336.66
PYPL,178,2026-07-20,2026-07-30,56.5961,53.3,255,closed,0.6664,trending,2026-07-30,153.77,57.46
MU,8,2026-06-22,2026-07-02,1199.13,1139.17,5,cancelled,0.7101,trending,2026-06-23,0.0,
AMAT,15,2026-06-22,2026-07-02,634.47,602.75,9,cancelled,0.6954,trending,2026-06-23,0.0,
KLAC,37,2026-06-22,2026-07-02,264.0,250.8,13,cancelled,0.6865,trending,2026-06-23,0.0,
LRCX,25,2026-06-22,2026-07-02,397.84,377.95,17,cancelled,0.7258,trending,2026-06-23,0.0,
AMD,18,2026-06-22,2026-07-02,544.6,517.37,21,cancelled,0.6539,trending,2026-06-23,0.0,
CVX,51,2026-08-03,2026-08-13,194.82,185.08,636,cancelled,0.731,trending,,0.0,
ORCL,66,2026-08-17,2026-08-27,150.65,143.12,969,cancelled,0.7312,trending,2026-08-17,0.0,
SWKS,100,2026-08-17,2026-08-27,69.4909,66.22,973,closed,0.6451,trending,2026-08-18,-331.09,66.18
