ticker,shares,entry_date,target_exit,est_entry,stop_price,order_id,status,discount_pct,institution,exit_date,exit_price,dollar_pnl,exit_order_id
DD,109,2026-06-10,2026-06-15,49.02,44.26,5,closed,62.6,STATE STREET CORP,2026-06-23,,,80.0
ADBE,21,2026-06-10,2026-06-15,203.5,227.13,5,closed,55.8,"BLACKROCK, INC.",2026-06-23,198.56,-103.74,82.0
NKE,111,2026-06-11,2026-06-16,45.7,43.37,5,closed,52.7,VAN ECK ASSOCIATES CORP,2026-06-23,42.29,-378.51,84.0
KLAC,19,2026-06-25,2026-06-30,248.74,241.28,7,closed,82.4,VANGUARD CAPITAL MANAGEMENT LLC,2026-06-29,249.62,16.72,130.0
CMCSA,204,2026-06-15,2026-06-20,22.63,21.95,11,closed,49.8,WELLS FARGO & COMPANY/MN,2026-06-29,26.22,732.36,126.0
FAST,109,2026-06-17,2026-06-23,45.82,44.45,21,closed,34.8,"NUVEEN, LLC",2026-06-23,45.89,7.63,88.0
CRM,31,2026-06-17,2026-06-22,152.48,147.91,25,closed,33.4,"SANDERS CAPITAL, LLC",2026-06-29,159.88,229.4,128.0
CMCSA,222,2026-06-23,2026-06-28,22.63,21.95,94,closed,54.3,WELLS FARGO & COMPANY/MN,2026-06-29,26.22,796.98,126.0
CRM,33,2026-06-23,2026-06-28,152.48,147.91,97,closed,38.2,"SANDERS CAPITAL, LLC",2026-06-29,159.88,244.2,128.0
ADBE,25,2026-06-25,2026-06-30,193.3,187.5,112,closed,63.5,"BLACKROCK, INC.",2026-06-30,203.9,265.0,158.0
ACN,39,2026-06-25,2026-06-30,128.91,125.04,115,closed,60.2,"BLACKROCK, INC.",2026-06-29,125.01,-152.1,
FAST,108,2026-06-25,2026-06-30,46.45,45.06,127,closed,34.5,"NUVEEN, LLC",2026-06-30,47.25,86.4,160.0
HCA,12,2026-06-25,2026-06-30,387.59,375.96,130,closed,23.2,VANGUARD FIDUCIARY TRUST CO,2026-06-30,391.0,40.92,162.0
KLAC,19,2026-06-26,2026-07-01,248.74,241.28,109,closed,82.3,VANGUARD CAPITAL MANAGEMENT LLC,2026-06-29,249.62,16.72,130.0
NKE,121,2026-06-29,2026-07-04,41.38,40.14,133,closed,56.7,VAN ECK ASSOCIATES CORP,2026-07-01,40.11,-153.67,
PFE,205,2026-06-29,2026-07-04,24.39,23.66,139,closed,35.0,MASSACHUSETTS FINANCIAL SERVICES CO /MA/,2026-07-07,24.15,-49.2,143.0
KLAC,20,2026-06-12,2026-06-17,248.74,241.28,11,closed,83.1,VANGUARD CAPITAL MANAGEMENT LLC,2026-06-29,249.62,17.6,130.0
KLAC,20,2026-06-24,2026-06-29,248.74,241.28,81,closed,83.3,VANGUARD FIDUCIARY TRUST CO,2026-06-29,249.62,17.6,130.0
ACN,40,2026-06-30,2026-07-05,123.26,119.56,165,closed,61.5,"BLACKROCK, INC.",2026-07-06,135.7,497.6,145.0
CMCSA,204,2026-06-30,2026-07-05,24.81,24.07,168,closed,50.4,WELLS FARGO & COMPANY/MN,2026-07-01,24.06,-153.0,
ADBE,23,2026-07-01,2026-07-06,209.32,203.04,125,closed,61.9,"BLACKROCK, INC.",2026-07-06,216.39,162.61,147.0
CRM,30,2026-07-01,2026-07-06,162.52,157.64,131,closed,35.5,"SANDERS CAPITAL, LLC",2026-07-06,163.56,31.2,149.0
FAST,103,2026-07-01,2026-07-06,48.55,47.09,134,closed,32.0,"NUVEEN, LLC",2026-07-06,48.45,-10.3,151.0
KLAC,18,2026-06-29,2026-07-04,249.3389,241.86,146,closed,80.9,VANGUARD FIDUCIARY TRUST CO,2026-07-02,241.76,-136.42,
UPS,45,2026-07-02,2026-07-07,110.5,107.19,150,closed,36.1,JPMORGAN CHASE & CO,2026-07-07,110.5,0.0,143.0
NKE,114,2026-07-07,2026-07-12,43.88,42.56,149,closed,54.0,VAN ECK ASSOCIATES CORP,2026-07-08,42.2,-191.52,
CMCSA,212,2026-07-07,2026-07-12,23.85,23.13,152,closed,52.1,WELLS FARGO & COMPANY/MN,2026-07-09,22.92,-197.16,
CME,21,2026-07-07,2026-07-12,238.0,230.86,158,closed,21.1,VANGUARD FIDUCIARY TRUST CO,2026-07-13,230.86,-149.94,
ICE,36,2026-07-07,2026-07-12,135.25,131.19,161,closed,17.9,"NUVEEN, LLC",2026-07-13,131.19,-146.16,
KLAC,23,2026-07-08,2026-07-13,215.14,208.69,144,closed,85.2,VANGUARD CAPITAL MANAGEMENT LLC,2026-07-13,208.69,-148.35,
NKE,117,2026-07-09,2026-07-14,42.7,41.42,144,closed,54.5,VAN ECK ASSOCIATES CORP,2026-07-14,44.32,189.54,160.0
CMCSA,213,2026-07-10,2026-07-15,23.5,22.79,144,closed,52.2,WELLS FARGO & COMPANY/MN,2026-07-15,23.54,8.52,187.0
ACN,38,2026-07-14,2026-07-19,130.37,126.46,166,open,57.3,"BLACKROCK, INC.",,,,
ADBE,22,2026-07-14,2026-07-19,221.58,214.93,169,open,57.1,"BLACKROCK, INC.",,,,
PFE,204,2026-07-14,2026-07-19,24.37,23.64,172,open,34.5,MASSACHUSETTS FINANCIAL SERVICES CO /MA/,,,,
ORCL,38,2026-07-14,2026-07-19,132.0,128.04,175,closed,34.3,FIL LTD,2026-07-14,128.03,-150.86,
FAST,109,2026-07-15,2026-07-20,45.81,44.67,170,closed,35.2,"NUVEEN, LLC",2026-07-15,44.54,-138.43,168.0
CMCSA,211,2026-07-16,2026-07-21,23.68,22.97,197,open,51.9,WELLS FARGO & COMPANY/MN,,,,
FAST,110,2026-07-16,2026-07-21,45.66,44.29,200,open,35.8,"NUVEEN, LLC",,,,
KLAC,24,2026-07-17,2026-07-22,209.01,202.74,222,open,85.0,VANGUARD CAPITAL MANAGEMENT LLC,,,,
UPS,42,2026-07-17,2026-07-22,117.24,113.72,228,open,31.7,JPMORGAN CHASE & CO,,,,
CRM,29,2026-07-17,2026-07-22,171.5,166.35,231,open,28.9,"SANDERS CAPITAL, LLC",,,,
