strategy,ticker,direction,shares,est_entry,current_price,unrealized_pnl,as_of
CNP-DKPL-V2,CNP,LONG,231,43.5055,44.56,243.59,2026-07-24 16:00:01
EPS-BCDC-001,UNH,LONG,23,429.7374,420.74,-206.94,2026-07-24 16:00:01
EPS-BCDC-001,GOOGL,LONG,30,320.6763,319.74,-28.09,2026-07-24 16:00:01
EPS-BCDC-001,LMT,LONG,17,571.0,582.73,199.41,2026-07-24 16:00:01
HURST-001,PYPL,LONG,178,56.5961,56.15,-79.41,2026-07-24 16:00:01
INST-ACT-AVGDOWN-001,NKE,LONG,119,41.7451,41.7,-5.37,2026-07-24 16:00:01
INST-ACT-AVGDOWN-001,HCA,LONG,13,374.1038,382.19,105.12,2026-07-24 16:00:01
INST-ACT-AVGDOWN-001,ADBE,LONG,23,217.0,225.11,186.53,2026-07-24 16:00:01
INST-ACT-AVGDOWN-001,ACN,LONG,36,142.89,146.99,147.6,2026-07-24 16:00:01
INST-ACT-AVGDOWN-001,LOW,LONG,24,203.1,207.6,108.0,2026-07-24 16:00:01
INST-ACT-AVGDOWN-001,KLAC,LONG,22,215.25,210.52,-104.06,2026-07-24 16:00:01
INST-ACT-AVGDOWN-001,IBM,LONG,24,209.25,214.19,118.56,2026-07-24 16:00:01
